RegionID,RegionName,SizeRank,Mar2008,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05
56,Virginia,11,250500,247300,239700,234600,232700,233100,232900,230900,227500,222e3,219300,219200,219100,216300,213e3,211900,214900,219400,226100,229e3,228100,227e3,229400,230900,23e4,225500,220800,217e3,220500,227800,234600,233200,231900,230800,227700,223400,216100,213200,209800,210400,216200,220600,225600,220600,219400,215e3,215300,214200,216800,220600,225300,228200,231500,233200,238300,238400,243600,240800,241900,235500,235e3,234800,238700,245800,247300,252400,251e3,253100,250500,247700,245e3,242900,243500,244800,244100,244700,244700,247e3,246800,248200,248800,251100,251700,254600,254900,256100,256500,255600,256300,254900,254400,251e3,247e3,246800,250800,252900,252900,251300,251200,252e3,253e3,253300,254100,254800,256700,255600,256800,26e4,261400,262600,259600,260500,260700,260100,260100,257600,259800,260300,265100,267300,270200,268900,
59,Washington,12,283e3,277e3,269800,262500,258300,257700,255500,255100,253300,254200,255500,257900,254800,248900,239300,237600,235600,237400,238200,240300,240300,241600,246300,250600,250300,245400,240800,236700,239300,240900,243e3,239e3,238e3,240900,240600,241100,235500,231e3,225e3,221400,220300,220600,220400,220900,220900,223700,222100,220800,218e3,221800,224500,230200,231e3,232900,233900,237700,241200,244300,244400,245e3,246e3,248e3,249400,249700,251500,254e3,255400,255100,254600,253600,254400,255700,256e3,254900,253400,255e3,258500,260300,261700,262500,262700,263300,264100,268400,269900,273200,275100,277100,275400,274500,275200,278700,281100,284800,287200,288400,289300,290100,292800,294e3,295500,297600,299200,301200,304200,307200,312400,313100,314900,314800,316900,319800,321e3,323e3,325100,328800,334200,339e3,342600,348300,352500,356400,345700
26,Massachusetts,13,313300,308700,299e3,294600,291e3,289300,285700,284900,276900,271700,262900,265700,264300,266900,264400,267700,271200,275700,277900,278200,273400,277900,281700,292200,290800,291e3,284500,286700,288600,295700,294300,292600,289900,288800,280700,271300,263700,266500,274500,284700,290400,291400,289200,284600,278400,274500,273200,276800,279100,284200,286900,293e3,295400,293800,290600,287800,289500,291100,288100,295200,296100,307200,306300,312200,313100,315500,316400,316700,311900,310400,311300,319400,322200,321800,321400,320700,322e3,319800,318100,317400,316800,319400,321500,330500,331e3,329600,323200,322900,325500,326600,327100,326900,326600,328400,327400,327300,325500,328200,329200,331500,331300,332400,333500,335600,338400,338500,339300,340600,342300,344400,345700,348600,349300,348600,350400,353800,358300,358500,357300,365800,367800,373500,
8,Arizona,14,22e4,214500,208700,202600,195e3,188300,180800,174500,165600,157400,147500,139700,132900,128300,125100,125400,127900,131200,133500,134100,135900,135700,135500,134500,134900,136e3,134900,133600,130600,129e3,127300,126200,124600,121500,119800,119e3,118600,118100,116100,116500,115800,115800,116900,118200,122600,124700,127700,128e3,131100,134900,141e3,145700,148100,150500,150600,154e3,156400,160700,161400,162200,163100,166600,169900,173e3,175200,176300,177400,178300,179800,180900,181200,180400,180800,180800,181500,180500,181400,182100,184200,184800,185800,186400,187700,189700,191300,193200,195400,197300,198e3,197200,197800,199700,201400,205300,206700,208100,207200,208900,210800,212400,213300,215300,216600,217700,218500,219900,221700,223500,224800,226300,227800,228500,229500,230500,233700,234900,237900,240500,244900,246400,244800,243100,242300
53,Tennessee,15,118900,118600,117600,116600,116e3,115900,115100,113300,110400,107300,107400,109600,111e3,111200,109900,111800,112100,113600,114e3,115e3,115700,114700,114600,112900,114e3,114100,115500,114400,111500,110100,108800,11e4,110200,113200,115200,115100,114100,112300,111600,109500,109200,110200,110900,110900,110700,112200,111900,111600,110800,112800,113600,113100,111700,111700,112400,113800,115e3,117e3,117400,117600,117300,119e3,120500,121700,122700,122600,122600,121600,121800,122e3,121600,123500,125300,127500,127600,128100,129500,130500,130900,131600,132900,134800,135400,135800,136500,136900,137500,137500,138300,139300,140600,141300,141700,141400,143100,143900,144600,144600,145100,146400,147300,148900,150500,153900,155600,157400,158600,160500,161e3,161600,160600,161900,162e3,165900,167e3,169100,169700,171700,175800,178400,181500,179400,
32,Missouri,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127500,128700,129e3,128400,130700,131e3,130300,130300,127900,131600,129800,134900,134900,138300,139600,139600,140400,140100,140400,140100,139400,139300,137e3,137400,136900,139800,140800,142e3,142400,141900,142800,143800,147e3,150200,151700,152300,152100,153700,153800,154300,153300,153900,153200,154500,155500,157e3,156400,156500,155700,155700,155700,155700,158600,158800,159700,157100,157e3,164e3,164700,165400,159500,159900,16e4,16e4,161300,162500,164200,168500,173e3,183e3,181300,178700,
27,Maryland,17,272500,269900,265900,257100,249900,249800,251800,253900,254e3,249700,250700,249800,253700,251800,244400,238200,227100,230600,231700,238700,235e3,235500,236300,238e3,237200,232800,228e3,219300,208700,203e3,203700,211100,214900,214200,221600,230200,231300,224400,212900,210200,203800,206e3,204900,208700,209300,213400,216900,215600,218800,219600,226300,226500,224300,221500,216500,223200,225700,228700,229500,224200,226500,224600,231200,233400,239700,242200,241300,236300,236700,237500,239700,239200,242600,240700,243900,241300,242600,240500,242900,242600,242200,241800,240200,237300,236100,238600,239100,243700,242e3,242300,240200,240200,241500,241800,241400,245100,245800,249500,248200,247500,248700,249800,249700,252800,253600,255200,255300,258300,260700,261500,261500,260700,258200,257600,263200,266500,27e4,267300,268900,266600,271500,271100,
60,Wisconsin,18,154600,151900,151e3,147200,147500,146300,147200,147100,147100,146400,143900,142700,141200,139500,137600,135800,136200,136100,137700,139400,139600,141500,139200,141900,141300,140200,137100,134500,136700,137200,136800,135900,135700,138300,139900,14e4,137900,133500,133300,132200,133900,133500,135e3,136800,136500,135200,133700,133100,132100,132600,133200,134600,136100,138e3,138e3,138200,135800,139700,141600,144500,143700,145e3,145300,146800,146900,148900,149200,148500,147800,147900,144300,141300,140900,142200,145600,144400,147800,147900,150800,147700,148900,149700,153700,154100,154400,155200,158500,158e3,158500,156100,156100,156600,156600,157400,155700,157600,159600,162100,162600,162900,163200,162400,162200,162900,163800,164e3,164200,164500,165e3,164300,166600,166800,168200,167600,168800,170600,171200,172800,172100,173800,173700,175300,
31,Minnesota,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167100,170500,173600,175100,177100,178300,179100,178800,179700,180200,180300,179900,180500,180900,182200,179600,180800,183400,19e4,192700,195400,198800,202700,204300,203600,203200,203500,203900,203500,203400,205500,207e3,208700,208100,208900,209900,211100,211800,211e3,211400,213e3,213100,211600,211100,211e3,213600,213200,215600,215600,216700,215700,216300,217700,219800,221200,226200,231900,237e3,236400,
10,Colorado,20,206900,202600,200400,198400,200800,202700,202700,200300,195200,19e4,183500,181700,180800,183400,184400,188200,192e3,198600,200200,201900,199700,202500,202400,204400,202500,201200,199100,197400,200700,205200,208500,208400,205700,206100,201800,199700,195300,193800,193300,193100,194100,195100,197300,197900,199200,198400,198500,195400,196600,200300,208100,213400,217e3,218900,220700,224100,225600,227200,226300,225400,225200,227700,230200,233400,234800,236200,237700,238100,237e3,235700,235300,236700,238400,240200,241600,242900,244700,246500,248200,250100,254200,256800,260800,261600,264400,265400,268e3,268200,269e3,270100,272100,274600,277500,281100,284700,287600,288600,288100,288800,291800,295800,298900,301700,304700,306600,309e3,311200,315900,319e3,322200,321400,321600,321e3,325e3,327600,331500,333900,340800,344800,348600,349200,351700,352100
